City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,60.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Arlit,NE,84.85,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
2,Busselton,AU,61.16,clear sky,-33.65,115.3333,Observatory Guest House
3,Bima,ID,84.76,few clouds,-8.4667,118.7167,Lambitu Hotel
5,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
6,Broome,US,66.67,scattered clouds,42.2506,-75.833,Chenango Valley State Park
7,Marsabit,KE,65.53,clear sky,2.3284,37.9899,Chicho Hotel
8,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
11,Hilo,US,85.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Atuona,PF,78.98,light rain,-9.8,-139.0333,Villa Enata
16,Hirara,JP,74.35,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
17,Port Elizabeth,ZA,63.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
18,Ponta Do Sol,PT,63.72,overcast clouds,32.6667,-17.1,Hotel do Campo
21,Komatipoort,ZA,71.06,clear sky,-25.4332,31.9548,Kruger View Backpackers
23,Ati,TD,85.39,broken clouds,13.2154,18.3353,
24,Rikitea,PF,77.85,light rain,-23.1203,-134.9692,People ThankYou
28,Bethel,US,66.29,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
29,Likasi,CD,60.55,scattered clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
30,Jamestown,US,66.18,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,Gao,ML,86.9,overcast clouds,16.6362,1.637,
33,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,East London,ZA,68.04,overcast clouds,-33.0153,27.9116,Tu Casa
38,San Quintin,MX,61.9,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
39,Bol,TD,82.0,broken clouds,13.4586,14.7147,Harrouni camp de passage
43,Puerto Del Rosario,ES,64.15,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
44,Airai,TL,71.87,overcast clouds,-8.9266,125.4092,
